code,name,academic_units,exam_schedule,common_information,description,mutually_exclusive,not_available,not_available_all,offered_as_bde,offered_as_ue,prerequisite,department_maintaining,grade_type,not_offered_as_bde_ue_to,not_offered_as_core_to,not_offered_as_pe_to,program_list,level
BH2603,TALENT SOURCING & ACQUISITION,4,,,"The ultimate competitive advantage of any company is the human capital (talent) that it has
acquired, developed and sustained over time. Having the right talent is key to every successful
organization.
This course aims to provide you with the knowledge and skills in the domain of personnel
recruitment, selection, and assessment. You will learn about staffing strategies, job analysis,
external and internal recruitment, various selection and assessment methods, and decision
making processes.",BH2607,ACBS-2ndMaj/Spec(HRC) 3,(Admyr 2021-onwards),0,1,AB1202 & AB1601,BUS,Letter-Graded,,,,"Business (HRC) Year 3, Business (HRC) Year 2, Accountancy And Business (HRC) Year 2, Accountancy And Business (HRC) Year 4, Accountancy And Business (HRC) Year 3",2
BH2605,STRATEGIC HUMAN RESOURCE MANAGEMENT & CONSULTING,3,,,"People are at the heart of all organizations.  The finest hardware, systems, policies etc., can only function as effectively as the people operating/implementing them. Human Capital plays a pivotal role in providing organizations with the edge to not only survive but to thrive amidst the stiff global competition that pervades the business world of today. People are a precious resource in any organization and if well nurtured and led, will form the platform upon which success can be achieved. 

In this course, you will acquire the body of knowledge to understand the key elements in the field of HR as well as to be a Business Partner and an HR Consultant. This course is for all students who are pursuing the HRC Specialization and for those who are interested to learn about Strategic Human Resource Management and how to become an HR Consultant.","BH2601, HP5005, HP8005",,(Admyr 2011-2020),1,0,AB1202 & AB1601,BUS,Letter-Graded,,,,"Business (HRC) Year 3, Business (HRC) Year 2, Accountancy And Business (HRC) Year 2, Accountancy And Business (HRC) Year 4, Accountancy And Business (HRC) Year 3",2
BH2607,TALENT SOURCING & ACQUISITION,3,,,"The ultimate competitive advantage of any company is the human capital (talent) that it has
acquired, developed and sustained over time. Having the right talent is key to every successful
organization.
This course aims to provide you with the knowledge and skills in the domain of personnel
recruitment, selection, and assessment. You will learn about staffing strategies, job analysis,
external and internal recruitment, various selection and assessment methods, and decision
making processes.",BH2603,,(Admyr 2011-2020),1,0,AB1202 & AB1601,BUS,Letter-Graded,,,,"Business (HRC) Year 3, Business (HRC) Year 2, Accountancy And Business (HRC) Year 2, Accountancy And Business (HRC) Year 4, Accountancy And Business (HRC) Year 3",2
BH3601,TALENT DEVELOPMENT & MANAGEMENT,4,,,"The key to organizational success is talent. Research by the Society for HR Management (SHRM) finds talent management and development to be among the three top priorities in supporting organizational growth and expansion. Thus, leaders building a winning organisation must attract and develop talented individuals with the requisite competencies to meet today's business challenges. That is, the ability to establish a T-shaped workforce with deep skillsets is critical. In this course, to help you acquire the knowledge and skills to train, develop, and manage talent, the focus will be on technology-based applications and best workplace practices.",BH3605,,(Admyr 2021-onwards),0,1,AB1601 & BH2601,BUS,Letter-Graded,,,,"Business (HRC) Year 3, Business (HRC) Year 2, Accountancy And Business (HRC) Year 2, Accountancy And Business (HRC) Year 4, Accountancy And Business (HRC) Year 3",3
BH3603,CULTURAL INTELLIGENCE AT WORK,4,,,"We live in a global world, where a premium is placed on the ability to navigate and adapt to differences. Cultural intelligence, CQ is the capability to function effectively across national, ethnic and organizational cultures (Ang & Van Dyne, 2008). IQ and EQ are no longer enough, CQ is becoming a critical predictor for success in the borderless world of the 21st century. The good news is that CQ can be developed and learnt by almost anyone.  This course will focus on providing you with a conceptual framework for CQ, as well as a set of tools to navigate and explore the world.","BU5641, BU5643, BU5645, BU8641, BU8643",,"Yr1, (Admyr 2021-onwards)",1,1,Year 2 standing,BUS,Letter-Graded,,,,"Business (HRC) Year 3, Business (HRC) Year 2, Accountancy And Business (HRC) Year 2, Accountancy And Business (HRC) Year 4, Accountancy And Business (HRC) Year 3",3
BH3604,MANAGING ORGANIZATIONAL CHANGE,4,,SEM^1^TUE^0930-1220^S4-SR22^,"Before the outbreak of the global pandemic, change management was already one of the top leadership priorities in organizations. Yet a significant number of organizations reported a high failure rate in driving change initiatives. The process of change and the resistance to change, if not well managed, could result in unproductive work or even unintended negative consequences.  The disappointing outcomes occurred because changes often affected multiple levels, from individuals? mindset, group routines, to organizational inertia.  Fortunately, there are ways to mitigate such risks and increase the probability of successful change implementation.  Organizational leaders, together with their human resource practitioners, are often involved in the planning and executing of change for their teams and organizations.  

This course aims to equip seminar participants with the necessary knowledge of the different forms of change that take place in organizations, and the processes entailed in leading and managing change. Using seminars and discussion groups, the course will cover change management frameworks and concepts, explore the nature and context of change, examine alternative change management approaches and examine how best to implement predetermined change strategies, especially in the context of digital disruption.",BU5605,,(Admyr 2021-onwards),0,1,AB1601,BUS,Letter-Graded,,,,"Business (HRC) Year 3, Business (BA) Year 3, Business (PBL) Year 3, Accountancy And Business (GB) Year 3, Business (ACS) Year 3, Business (BAF) Year 3, Accountancy And Business (GA) Year 3, Business (RMI) Year 3, Business (RA) Year 3, Business (ITT) Year 3, Business (MKG) Year 3, Business (AWM) Year 3",3
BH3605,TALENT DEVELOPMENT & MANAGEMENT,3,,,"The key to organizational success is talent. Research by the Society for HR Management (SHRM) finds talent management and development to be among the three top priorities in supporting organizational growth and expansion. Thus, leaders building a winning organisation must attract and develop talented individuals with the requisite competencies to meet today's business challenges. That is, the ability to establish a T-shaped workforce with deep skillsets is critical. In this course, to help you acquire the knowledge and skills to train, develop, and manage talent, the focus will be on technology-based applications and best workplace practices.",BH3601,,(Admyr 2011-2020),1,1,AB1601 & BH2605,BUS,Letter-Graded,,,,"Business (HRC) Year 3, Business (HRC) Year 2, Accountancy And Business (HRC) Year 2, Accountancy And Business (HRC) Year 4, Accountancy And Business (HRC) Year 3",3
BL5305,ADVANCED TAXATION,4,2024-12-0213:00-15:30,,"This course seeks to provide you with an insight into simple income tax planning opportunities from Singapore's perspective. You will identify the presence of such opportunities in the context of a partnership, a foreign employee on an international work assignment in Singapore, selected corporate tax incentives, corporate restructuring, and a resident company receiving foreign income in Singapore.
You will learn to apply selected core legislative extracts and (using the Singapore-Malaysia tax treaty as a reference) also treaty provisions to determine the Singapore tax treatment applicable to income derived from Singapore by a person who is resident in a treaty country.",,,,1,1,AC2301,ACC,Letter-Graded,,,,,5
BM2501,MARKET BEHAVIOUR,4,,,"This course will introduce you to key consumer behavior concepts, thus equipping you - as current or future managers - with the knowledge to evaluate and design effective marketing decisions. After the completion of this course, you should be able to understand the psychology of how consumers think, feel, reason, and choose between different alternatives (e.g., brands, products), how social and cultural environments (e.g., friends, family, and culture) influence consumer behaviour, and how marketers can adapt and improve marketing campaigns/strategies to more effectively reach and influence the consumers. You will also learn to appreciate the relevance of consumer behaviour for marketers and policymakers.",BM2509,,(Admyr 2021-onwards),0,1,AB1501,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM2502,MARKET INTELLIGENCE,4,,,"This course aims to develop students' basic skills in conducting and evaluating marketing research projects. It is primarily designed for those who intend to pursue a career in marketing research and for those who will rely on marketing research information for decision making. The main emphasis is on problem formulation, research design, methods of data collection, and data analysis.",BM2510,,(Admyr 2021-onwards),0,1,,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
