code,name,academic_units,exam_schedule,common_information,description,mutually_exclusive,not_available,not_available_all,offered_as_bde,offered_as_ue,prerequisite,department_maintaining,grade_type,not_offered_as_bde_ue_to,not_offered_as_core_to,not_offered_as_pe_to,program_list,level
AAA08B,FASHION & DESIGN: WEARABLE ART AS A SECOND SKIN,3,,"LEC/STUDIO^LE^THU^1430-1720^NIE7-02-07^Teaching Wk1-10,12,13","Develop process skills in expression and visual articulation through the creation of wearable art works as a second skin. It is an initiation into fashion design and illustration world and will focus on the fundamentals of creating form, controlling volume and surface treatments for the body. Students of this hands-on class will experience illustrating their creations as well constructing their works to achieve a wearable art work.

Attendance is a requirement as there are continual and formative assessments.",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA08C,EXPRESSIVE DRAWING: DEVELOPING PERSONAL APPROACH & STYLE,3,,LEC/STUDIO^LE^MON^1030-1320^NIE3-B2-01^,"Students will learn a brief history of expressive style in drawing and will learn about current drawing practices in contemporary art. Through a self-guided library search they will find and explore and investigate the work of artists who use expressive drawing. This investigation will help students to develop and enhance their studio art-making experience and deepen their understanding of the role of drawing in human development and in art. Students will learn a variety of traditional and frequently used drawing techniques and materials used in past and current artworks. They will also decide upon and experiment with the use of alternative drawing materials. In consultation with the lecturer, students will decide to create either six small finished drawings or two larger finished drawings with accompanying preparation drawings, technique/material experiments and other evidence of their working process. The final artworks must utilize materials introduced at the beginning of the course and may incorporate alternative materials. Through the development and making process students will acquire working methods, research skills and technical knowledge necessary to successfully realize their own uniquely expressive drawings. They will also develop an understanding of the importance of drawing in history and an awareness of its relevance in contemporary art issues.

Attendance is a requirement as there are continual and formative assessments.",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA08D,ABSTRACT PAINTING: WHY IT'S HERE & HOW IT'S MADE,3,,LEC/STUDIO^LE^MON^1430-1720^NIE3-B2-01^,"Students will learn a brief history of abstraction in art and will learn about why abstraction continues as a form in contemporary art. Through a self-guided library search they will explore their own ideas and preferences as a means of developing and enhancing their studio art-making experience. Students will also learn basic painting techniques used in many abstract artworks and will learn about the use of alternative materials. In consultation with the lecturer, students will produce two major artworks with accompanying preparation drawings, paint technique experiments and other evidence of their working process. The final artworks must utilize paint, however, alternative materials will be allowed in conjunction with traditional painting techniques. Through the development and making process students will acquire working methods, research skills and technical knowledge necessary to successfully realize their own artworks. They will also develop an understanding of abstraction in art and an awareness of its relevance in contemporary and historical art issues.

Attendance is a requirement as there are continual and formative assessments.",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18D,LIFE DRAWING,3,,LEC/STUDIO^LE^TUE^1130-1420^NIE3-B2-01^,"This course introduces drawing of the nude human figure at a basic level through developing various first hand observation skills. Students will learn skills in measuring, proportion, tone, volume, negative space etc. By the end of this course, students will develop a competency in making drawings with a degree of accuracy to what is being observed. 

Attendance is a requirement as there are continual and formative assessments.",AAA183,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18E,DRAWING,3,,,"This course introduces drawing at a basic level through developing various first hand observation skills. Students will create a range of drawings from portraits to still life depictions. Students will learn skills in measuring, proportion, tone, volume, negative space etc.  By the end of this course, students will develop a competency in making drawings with a degree of accuracy to what is being observed. 

Attendance is a requirement as there are continual and formative assessments.",AAA184,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18H,PAINTING WITH OIL & ACRYLIC,3,,"LEC/STUDIO^LE^THU^0930-1220^NIE3-B2-01^Teaching Wk1-10,12,13","This course introduces painting at a basic level.
1.	Technical skills related to the pre-production, production and post-production of painting.
2.	Understanding of the elements of art and principles of design
3.	Some historical references to Fine Art Painting practice will be made.

Attendance is a requirement as there are continual and formative assessments.",AAA185,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18J,PAINTING WITH WATERCOLOUR,3,,LEC/STUDIO^LE^WED^1130-1420^NIE3-B2-01^,"This course aims to highlight the beauty and ephemeral qualities of watercolour painting. Students will be progressively taught various techniques to achieve different results. There will be an emphasis on hands-on practice as well as keynotes on how to appreciate the visual qualities of watercolour paintings. Students will first be taught basic drawing and paintings skills, after which students are encouraged to take a more experimental and gestural approach to watercolour painting.

Attendance is a requirement as there are continual and formative assessments.",AAA186,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18K,COMMUNICATION DESIGN,3,,LEC/STUDIO^LE^TUE^1030-1320^NIE3-B1-06^,"This course introduces the study of communication design. 
1.	Technical skills related to the conceptualization and visual articulation of signs, images, symbols and composition.
2.	Understanding of the elements of art and principles of design
3.	Current and historical references to graphic design practice will be made.

Attendance is a requirement as there are continual and formative assessments.",AAA187,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18L,SILKSCREEN PRINTING,3,,LEC/STUDIO^LE^WED^1430-1720^NIE3-B1-08^,"This course introduces silk screen printing at a basic level.
1.	Technical skills related to the pre-production, production and post-production of silkscreen.
2.	Understanding of the elements of art and principles of design
3.	Survey of graphic printing on paper and fabric.

Attendance is a requirement as there are continual and formative assessments.",AAA188,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18M,BATIK,3,,"LEC/STUDIO^LE^THU^0930-1220^NIE3-B1-10^Teaching Wk1-10,12,13","This course introduces Batik at a basic level.
1.	Technical skills related to the pre-production, production and post-production of batik.
2.	Understanding of the elements of art and principles of design
3.	To learn about the historical references of Batik in relation to regional 

Attendance is a requirement as there are continual and formative assessments.",AAA189,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18Q,PRINTMAKING,3,,LEC/STUDIO^LE^WED^1130-1420^NIE3-B1-08^,"Investigates image making through a range of printmaking techniques.

Attendance is a requirement as there are continual and formative assessments.",AAA18B,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA18R,SCULPTURE,3,,,"A study of the skills and knowledge pertinent to three-dimensional art, allowing for exploration of contemporary sculptural practices.

Attendance is a requirement as there are continual and formative assessments.",AAA18C,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA28J,DIGITAL MEDIA & VISUAL ARTS:MOVING IMAGE,3,,LEC/STUDIO^LE^WED^1430-1720^NIE3-B1-06^,"Introduction to contemporary art making with digital video tools. Participants will experience first hand current art making methodologies through themed based works. The course will go through the processes of concept development, basic software tutorials, production and group critiques. Very basic knowledge of any video editing software and possession of any kind of Digital Video Camera would be beneficial but not mandatory.",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA28R,CERAMICS I,3,,"LEC/STUDIO^LE^THU^0830-1120^NIE3-B2-03^Teaching Wk1-10,12,13","This module will teach the participant skills for the production of clay works through the inquiry of various handbuilding techniques such as pinching, coiling and slabwork and finishing skills such as glazing and firing. By the end of this course students will accomplish small hand formed vessels. 

Attendance is a requirement as there are continual and formative assessments.",AAA28A,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAA28S,CERAMICS II,3,,"LEC/STUDIO^LE^THU^1130-1420^NIE3-B2-03^Teaching Wk1-10,12,13","This module will teach the participants hand building and `throwing' skills for the production of clay works made on the potter's wheel. Students will also experience finishing skills such as glazing and firing and by the end of this course students will accomplish small hand thrown vessels. 

Attendance is a requirement as there are continual and formative assessments.",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAC18A,CHINESE CALLIGRAPHY,3,,"LEC/STUDIO^LE^FRI^0930-1220^NIE3-B1-10^Teaching Wk1-7,9-13",Origin and development of Chinese calligraphy; various styles; lives and styles of prominent calligraphers; the use of the Chinese brush; techniques in writing the basic strokes; demonstrations and practices.,,"ARED, SCED",,1,1,,NIE,Letter-Graded,,,,,10
AAE18C,EXPLORING THE GRAMMAR OF ENGLISH,3,2024-11-2209:00-11:30,LEC/STUDIO^LE^WED^0830-0950^NIE TR312^;TUT^T^THU^1430-1550^NIE TR313^,"This course introduces grammar as the study of the different parts of the English sentence and how these parts relate to each other. It covers the full range of units - the individual words, which combine with other words to form phrases, which, in turn, combine with other phrases to form clauses.  The course draws attention to the key features of the major constituents of the English sentence, and the various functions they perform.  Student teachers are also given a brief introduction to the two main approaches to the study of grammar - the formal and the functional.",,"ARED, CNLM, HSLM, LMEL, LMPL, LMS, PSLM, SCED",,1,1,,NIE,Letter-Graded,,,,,10
AAE18E,INTRODUCTION TO LINGUISTICS,3,,LEC/STUDIO^LE^MON^1530-1650^NIE TR313^;TUT^T^FRI^1030-1150^NIE TR312^,"This survey course offers an introduction to linguistics which is the scientific study of human language. The course provides an overview of the major branches of linguistics, focussing on English. Students will learn about the history and structure of English as well as broader ideas about how language relates to the mind, society, and education. Connections between these various branches of linguistics are emphasised. The course provides the necessary disciplinary foundation and basis for further linguistic investigations in subsequent courses.",,"ARED, CNLM, HSLM, LMEL, LMPL, LMS, PSLM, SCED",,1,1,,NIE,Letter-Graded,,,,,10
AAE28B,INTRODUCTION TO CHILDREN'S LITERATURE,3,,LEC/STUDIO^LE^MON^0930-1220^NIE TR301^,"Examination of the range of major forms and genres in children's literature, focusing on important traditions, themes and conventions, and exploring their relevance to the linguistic and imaginative development of young readers. Areas of study may include: Western and Asian oral and written traditions, fairy tales, fable, myth, fantasy literature, picture books and 'classic' children's literature.Classes are 3 hours in a block.

Note: Student who passed AAE283 is not allowed to take this course.","AAE283, HL2042","ARED, ELAH, ELH, SCED",,1,1,Not offered to stud taking eng lang/literature,NIE,Letter-Graded,,,,,10
AAG28C,UNDERSTANDING TOURISM,3,,LEC/STUDIO^LE^TUE^1030-1220^NIE3-02-26^;TUT^T^TUE^1230-1320^NIE3-02-26^Teaching Wk2-13,"Tourism is arguably the world's largest industries and has been considered as an economic development option by many developing countries. However, it is debatable whether income generated through tourism can bring marginalized communities increased economic independence and life standards. This course aims to use tourism as a lens to explore key issues of globalization and socio-economic development and how tourism, a global phenomenon, influences local people's lives. Course objectives are to 1) introduce the concepts relevant to tourism and globalization; 2) apply theoretical frameworks to the analysis of contemporary issues of the globalization of tourism, and the complex relationships that link local, regional, national and international processes and patterns of tourism development; 3) explore the dynamic relationship between the forces of globalization, transnational tourism corporations, and the state and civil society in the context of tourism; and 4) assess critically the economic, political and social ramifications of the systemic sources of power and inequality which are reflected in and sustained by international tourism.",,"ARED, SCED",,1,1,Attendance is Compulsory,NIE,Letter-Graded,,,,,10
AAG28E,INTRODUCTION TO GEOGRAPHICAL INFORMATION SYSTEMS,3,,LEC/STUDIO^LE^WED^1130-1220^NIE3-02-24^;TUT^T^WED^1230-1320^NIE3-02-24^Teaching Wk2-13,"This course will introduce students to how to think spatially by familiarizing them with the basic concepts and tools of Geographic Information Systems (GIS). It enables students to display, analyze and manipulate spatially-reference information, and to better understand human-environment interactions.","AAG23H, AAG251, ES2802","ARED, EESS, ESPP, SCED",,1,1,Attendance is compulsory,NIE,Letter-Graded,,,,,10
AAG38A,CITIES OF THE WORLD,3,,LEC/STUDIO^LE^MON^0830-1020^NIE3-02-26^;TUT^T^MON^1030-1120^NIE3-02-26^Teaching Wk2-13,"Based on comprehensive theoretical understandings and case study based city-specific in-depth analysis, this course aims to introduce students to the practice, processes, and complexities in/of the urbanizing world and with specific focus on Asia. Through the lens of everyday urban world, this course will seek to understand urban theories and concepts, various urban policies, their travel as models & practices, technologies and their adoption into the urban world, urban water management and the making of liveable, sustainable & smart cities across the world. Particular emphasis will also be given on understanding Singapore?s everyday urban life, planning practices and its importance as an urban model in Asia and beyond. Further, student fieldwork will help in understanding classroom concepts and appreciate everyday Asian urbanism.",,"ARED, SCED",,1,1,Attendance is Compulsory,NIE,Letter-Graded,,,,,10
AAI08C,POPULAR MUSIC ARRANGEMENT WITH TECHNOLOGY,3,,LEC/STUDIO^LE^TUE^1230-1520^NIE3-02-09^,"This elective course aims to provide you with an introduction on the knowledge and tools to record and arrange popular music. Using one of the most ubiquitous music-making tools in the market, GarageBand, this practical based course allows you the opportunities to explore recording and editing of melodies, harmonies, and basic bass & drum patterns using software instruments. You will also explore the use of Apple Loops to enhance your arrangement ideas. In addition, you will learn about the specific musical terms and concepts that will help you better understand and describe your music arrangement. Through this experience, you will deepen your technological content knowledge and at the same time improve self-efficacy in the development of your musical abilities.",,"ARED, SCED",,1,1,No Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI16A,FOUNDATIONS IN MUSIC STUDIES I,3,,LEC/STUDIO^LE^MON^1130-1420^NIE3-02-18^,"This is the first of three foundational courses aimed at providing conceptual and skills grounding for the study of musics across different traditions and for music writing. You will be introduced to key concepts to help you develop an informed understanding and cross-cultural sensitivity for the study of musics across different traditions, styles and genres. You will also develop your foundations in harmony and counterpoint for music writing, not confined to Euro-American art music styles.",AAI182,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI16B,BAROQUE & CLASSICAL MUSICAL PRACTICES,3,,LEC/STUDIO^LE^TUE^1030-1320^NIE3-02-07^,"This course seeks to introduce to student teachers Western musical practices by situating them in a social and historical context. Musical practices, via creating performing and responding, form the basis of learning about any specific musical practice and the activity of experiencing and reflecting on the musical practice. Each musical practice would have to be viewed from its own culturally situated and practice specific context. This course acknowledges a constructivist paradigm in the teaching and learning of and about music asserting knowledge as being uniquely constructed by individuals. Learning is facilitated in an environment, which is created and/or constructed by both student teachers and facilitators as stakeholders.",AAI180,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI16C,ROMANTIC & 20TH CENTURY MUSICAL PRACTICES,3,,"LEC/STUDIO^LE^THU^1130-1420^NIE3-02-04^Teaching Wk1-10,12,13","This course, the subsequent in the series, represents a further development in learning Western musical practices, via creating performing and responding, from a culturally situated and practice specific context. Through this course, student teachers will acquire concepts about construction of greater/lesser in musical traditions and ramifications of such a construction. Learning is facilitated in an environment which is created and/or constructed by both student teachers and facilitators as stakeholders.",AAI181,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI16G,COMPOSING & ARRANGING,3,,"LEC/STUDIO^LE^THU^1630-1920^NIE3-02-09^Teaching Wk1-10,12,13","This course aims to develop your skills in melody writing, arrangement, and composition structuring. Upon course completion, you will be able to compose and explain your composition tangibly through logical thinking instead of simply relying on inspiration ? by analysing factors contributing to effective composition. The course cumulates in a recording of each student's composition for their classmates to perform live.",AAI183,"ARED, SCED",,1,1,No Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI28C,PERCUSSION,3,,LEC/STUDIO^LE^MON^0930-1220^NIE3-01-05^,"A practical-based course in percussion playing and developing skills on a range of instruments as well as in ensemble playing.

As the assessment is continuous in nature, class attendance is compulsory.
Students are required to attend and pass an audition in week 1.",AAI282,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI38C,CLASSICAL GUITAR I,3,,LEC/STUDIO^LE^TUE^1430-1720^NIE3-01-05^,"This is a practical course with an introduction to learning to play the Classical guitar. This course involves reading of basic notation and understanding and recognising chord symbols.

Attendance is a vital part in which there is continuous assessments.
Students are required to attend and pass an audition in week 1.",AAI382,"ARED, SCED",,1,1,No Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI38D,CHOIR I,3,,LEC/STUDIO^LE^WED^1330-1620^NIE3-02-04^,"Participation in the NIE Choir. Study of choral repertoire from all periods, concentration on vocal and choral techniques as related to musical styles, preparation and presentation concerts.


Attendance is a vital part in which there is continuous assessments.
Students are required to attend and pass an audition in week 1.",AAI383,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI38J,BAND I,3,,LEC/STUDIO^LE^FRI^1830-2120^NIE3-01-05^,"Rehearsing and performing in the symphonic band. The band provides performers with a wide range of repertoire.

Attendance is a vital part in which there is continuous assessments.
Students are required to attend and pass an audition in week 1.",AAI387,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI38Q,VOICE,3,,"LEC/STUDIO^LE^THU^1430-1720^NIE3-02-04^Teaching Wk1-10,12,13","This elective course will help you to gain insights and practical experience on healthy voice usage and optimizing their speaking and/or singing voice. Voice quality and analysis are approached through the McClosky Method. The McClosky Voice Method* will be introduced as a means to gain insight and practical experience on healthy voice usage. You will learn to approach basic problems in voice quality and to analyze the issues in the use of the voice. By becoming attuned to the physical process, you will attempt to use these techniques in all speaking and singing situations. There are ample hands-on sessions where experienced Certified McClosky Voice Technician** help you to improve your vocal technique with individualized attention.

*The McClosky Voice Method is based on the work of David Blair McClosky (1902-1988). In the 1950's, in collaboration with otolaryngologists at Syracuse University and the Massachusetts Eye and Ear Infirmary in Boston, he developed the techniques to resolve vocal problems without surgery. It is now used by performing musicians, speakers, and teachers to maintain healthy, resilient voices even under demanding conditions.

**Certified McClosky Voice Technicians (CMVTs) are voice teachers, professional singers and speakers, music educators, choral conductors and speech and language pathologists. They are experienced in helping other professional voice users to modify their vocal habits to rebuild and enhance healthy, robust and lasting speaking and singing voices.",AAI38G,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI38R,CONDUCTING,3,,LEC/STUDIO^LE^FRI^1430-1720^NIE3-01-05^,"This course aims to equip you with the requisite skills to conduct music ensembles. Students with prior musical experience will especially benefit from this practice-based module. After the completion of this course, you should be equipped with a strong foundation in conducting, baton technique, and score study. In particular, you should be able to apply your knowledge and skills across a wide range of musical styles and conduct with poise and confidence in concert settings. Your skills will be developed in a 'spiral' fashion whereby the fundamental aspects of conducting and musicianship are continually revisited.",AAI48L,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI48A,STUDIES IN CHINESE MUSIC,3,,LEC/STUDIO^LE^FRI^1030-1320^NIE3-02-18^,"This will involve the study of peformance of Chinese flute in ensemble playing.  Playing techniques and skill development will be taught.  Ensemble playing with other Chinese musical instruments will be encouraged throughout the programme.

Attendance is a vital part in which there is continuous assessments.",AAI480,"ARED, SCED",,1,1,No Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI48B,STUDIES IN MALAY MUSIC,3,,LEC/STUDIO^LE^WED^1330-1620^NIE3-01-01^,"Learning and playing of the Malay framed drums, kompang and the Malay lute gambus. Performance techniques will involve acquiring skills in interlocking rhythmic variations and doing group performances. 

Attendance is a vital part in which there is continuous assessments.",AAI481,"ARED, SCED",,1,1,No Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI48D,CHOIR III,3,,LEC/STUDIO^LE^WED^1330-1620^NIE3-02-04^,"Further experience of the choral repertoire and of vocal techniques. Based on individual singing proficiency, students may be assigned to participate in the NIE Choir or, the NIE Singers, an a cappella vocal ensemble which consists of a selective group of singers.

Attendance is a vital part in which there is continuous assessments.
Students are required to attend and pass an audition in week 1.",AAI483,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI48G,STUDIES IN POP AND JAZZ,3,,LEC/STUDIO^LE^MON^1430-1720^NIE3-01-01^,"A study of the development of popular music in the late 20th century from its European and Afro-American roots.  This is largely a practical-based course.

Attendance is a vital part in which there is continuous assessments.
Students are required to attend and pass an audition.",AAI485,"ARED, SCED",,1,1,No Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAI48J,BAND III,3,,LEC/STUDIO^LE^FRI^1830-2120^NIE3-01-05^,"Continued experience in the symphonic band. To perform literature of the highest aesthetic value with emphasis on major original works.

Attendance is a vital part in which there is continuous assessments.
Students are required to attend and pass an audition in week 1.",AAI487,"ARED, SCED",,1,1,Require Audition; https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AAL18A,GLOBALISATION: AN INTRODUCTION,3,,LEC/STUDIO^LE^THU^0830-1020^NIE3-02-31^;TUT^T^THU^1030-1120^NIE3-02-31^,"The term 'globalisation', having been subject to much use and abuse in both academic and lay discourses, has nowadays become something of a cliche that perhaps obfuscates more than it reveals. This course seeks to provide students with a basic, clear, and relatively comprehensive introduction to the concept. It unpacks globalisation by interrogating its definitions, general theories, and historical/social foundations, before examining in detail a number of key facets to a globalised world, including the global economy, civil society, governance, culture, everyday life, inequality, migration/mobility, and security. In addition, the course also contextualises students' learning by making them think about what globalisation means for Singapore and Singaporeans.",AAL28B,"ARED, SCED",,1,1,Attendance is compulsory.,NIE,Letter-Graded,,,,,10
AAM18A,MATHEMATICS AROUND US,3,,TUT^T1^TUE^1330-1620^NIE7-TR715^,"This course aims to introduce students to the Mathematics that we see in different areas of human life not normally associated with science and technology.  Most students view mathematics as a pragmatic and powerful tool applied in various fields of science and technology.  This course seeks to lead students to an appreciation of the human aspects of Mathematics through an understanding of its presence in the arts and other common human activities. The course will explore the presence and use of mathematics in the diverse areas where mathematics is less expected, such as art, music, sports, games of chance, coding, persuasion and decision making, magic tricks and puzzles.  Selected anecdotes of mathematical discoveries will also be included.",,,,1,1,,NIE,Letter-Graded,,,,,10
AAQ10A,PRINCIPLES OF NUTRITION,3,2024-11-2209:00-11:30,LEC/STUDIO^LE^TUE^0930-1220^NIE7-2-7^,,,,,1,1,,,Letter-Graded,,,,,10
AAR08A,LITERATURES OF SOUTHEAST ASIA,3,,LEC/STUDIO^LE^TUE^1230-1520^NIE TR320^,"This course aims to examine selected literary works from Southeast Asian countries, from the point of view of their literary techniques and themes, as well as within the contexts of their literary traditions and geopolitical, social and cultural negotiations. In order to develop a collaborative and comparative frame of interpretation and understanding, common themes that will be explored across the literatures from various countries include colonization and independence, nationalism, the continuing influence of traditional and ethnic cultures, and the evolution of literary style and genre. Careful attention will be paid to considering the meanings and possible impact of each of these works within their own society as well as to elucidating how each work can be seen to manifest culturally specific values, ideologies and philosophies. In order to achieve this, selected theoretical, cultural and multimedia texts will be introduced alongside the core literary texts.",,,,1,1,,NIE,Letter-Graded,,,,,10
AAU08A,THEATRE GAMES: ENGAGEMENT THROUGH PLAY,3,,,"This module examines a range of theatre games conventionally used in a participatory classroom to build specific skills and capabilities.  Students will be introduced to theatre practitioners such as Augusto Boal, Viola Spolin, Clive Barker and Chris Johnstone, who have developed theatre games for actor training as well as team-building. These theories, methods and practices will be used to engage participants in a range of reflective processes, critical dialogue and physical activities that promote stronger social-emotional learning opportunities, inter-personal and intrapersonal skills, as well as civic and social awareness through activities that enhance team-building, trust, confidence, collaboration and the extension of imagination. The principles of practice that underpin the use of theatre games will be explored and explicated in relation to non-traditional theatre contexts. The course will equip students with the necessary facilitation and planning skills crucial for the incorporation of theatre games in the development of programmes to engage an intended audience. Students will learn how to design a short programme using theatre games, in order to work creatively within a range of community settings and expectations. They will also be required to facilitate theatre games for this purpose as part of their assessment. 

Topics taught:

1.	Theatre games for building inter- and intra-personal skills and awareness
2.	Theories and principles underpinning theatre games 
3.	Planning structures for programmes incorporating theatre games
4.	Facilitation approaches to using theatre games",,"ARED, SCED",,1,1,Details - refer to https://www.ntu.edu.sg/nie/vpa-electives,NIE,Letter-Graded,,,,,10
AB0403,DECISION MAKING WITH PROGRAMMING & ANALYTICS,3,2024-12-0213:00-14:30,,,,,,1,1,,,Letter-Graded,,,,"Business (BAF) Year 3, Business (HRC) Year 2, Business (GA) Year 1, Business (BA) Year 2, Business (ACS) Year 2, Business (RA) Year 3, Business (RA) Year 2, Business (HRC) Year 3, Accountancy (GB) Year 3, Accountancy And Business (GA) Year 1, Business (ITT) Year 2, Business (ACS) Year 3, Accountancy And Business (GB) Year 2, Accountancy And Business (GB) Year 3, Business (BAF) Year 2, Accountancy (GB) Year 2, Business (MKG) Year 2, Accountancy (GB) Year 1, Business (MKG) Year 3, Accountancy And Business (GB) Year 1, Accountancy And Business (GB) Year 4, Business Year 2, Accountancy And Business (GA) Year 4, Business (BA) Year 3, Business (GB) Year 1, Accountancy (GA) Year 2, Accountancy And Business (GA) Year 3, Accountancy (GA) Year 3, Business Year 1, Accountancy (GA) Year 1, Business (ITT) Year 3, Accountancy And Business (GA) Year 2",10
AB0602,COMMUNICATION MANAGEMENT STRATEGIES,4,,,"The purpose of this course is to prepare you for the communication challenges that you are likely to meet in rapidly evolving global business environments. It will help you to present yourself confidently, persuasively, and professionally in the way you speak, write and participate in your chosen profession.
AB0602 starts with the basic - and well-rounded - premise that Communication Theory, Strategies and Skills are all needed in a highly complementary way for today's young executives preparing for workplace effectiveness. Theory provides a conceptual framework that guides strategy and skills. Strategy allows communicators to make intelligent choices about content, organisation, style, tone, delivery, and timing of messages. Skills are needed to craft effective written documents, give constructive feedback, and create as well as deliver persuasive business presentations. Throughout, the emphasis is on the art of persuasion for effectiveness in the corporate context.
In addition, the course addresses other new demands in today's work culture. One such emerging demand is the need for effective Small Group Communication, a skill valued for collaborative work and team building. As such, you will be trained to go beyond prepared presentations to help you operate effectively in contexts which require spontaneous yet formal communication. Such contexts include small talk, meetings, team briefings and group discussions.
Another new demand comes with the prevalence of online communication. To prepare for this trend, you will be guided to enhance your Executive Presence (EP) in both face-to-face and online settings, with special emphasis on social media and personal branding. Building on the theoretical foundation provided by EP experts, you will learn how to be an effective communicator across each medium - in-person, written or virtually - and in diverse situations. 
Finally, this course also offers you the opportunity to acquire an understanding of the method of Principled Negotiation developed by the Harvard Negotiation Project. You will gain hands-on experience in negotiation through engagement in negotiation simulations.
To sum up, this course is planned to align with the broader vision of preparing you well for the workplace and address the increasingly complex needs of industry. As Mr. Ong Ye Kung, speaking as Acting Minister for Education (Higher Education and Skills), has noted: 'IHLs (institutes of higher learning) must help students to build up their essential soft skills, such as interpersonal skills, working in teams and across cultures, the ability to communicate well, negotiate effectively, and be resourceful and enterprising.'
Approximating the real-world work environment and culture to the extent possible for a course, the teaching approach consistently keeps the final outcome in mind:
'your development as a work-ready young executive able to operate in the corporate context with presence and persuasion.'",,,,1,1,AB0601 OR,ACC,Letter-Graded,,,,"Business (HRC) Year 2, Business (BA) Year 2, Business (ACS) Year 2, Business (RA) Year 2, Business And Computing Year 3, Business (GA) Year 2, Business (ITT) Year 2, Accountancy And Business (GB) Year 2, Accountancy And Business (GB) Year 3, Business (BAF) Year 2, Accountancy (GB) Year 2, Business (MKG) Year 2, Accountancy And Data Science & Artificial Intelligence Year 2, Accountancy And Business (GB) Year 4, Accountancy And Business (GA) Year 4, Business (GB) Year 2, Accountancy (GA) Year 2, Accountancy And Business (GA) Year 3, Business And Computing Year 2, Accountancy And Business (GA) Year 2",10
